,symbol,%
0,ADANIPORTS.NS,21.670350490325994
1,ASIANPAINT.NS,22.132624982645677
2,AXISBANK.NS,22.018570876087097
3,BAJAJ-AUTO.NS,14.667225871039946
4,BAJAJFINSV.NS,33.26286496370254
5,BAJFINANCE.NS,39.13845234082156
6,BHARTIARTL.NS,15.613964862146368
7,BPCL.NS,11.279694735470658
8,BRITANNIA.NS,4.940492188743173
9,CIPLA.NS,16.677299801894584
10,COALINDIA.NS,11.593452976201846
11,DIVISLAB.NS,9.135066470450347
12,DRREDDY.NS,12.383004504990414
13,EICHERMOT.NS,23.422831753601827
14,GAIL.NS,5.896881146848143
15,GRASIM.NS,18.93992433513054
16,HCLTECH.NS,16.218892553346407
17,HDFC.NS,14.278640542468901
18,HDFCBANK.NS,15.447666161614237
19,HDFCLIFE.NS,-2.128792287852588
20,HEROMOTOCO.NS,8.212966202681438
21,HINDALCO.NS,23.967166747092694
22,HINDUNILVR.NS,15.806059263866157
23,ICICIBANK.NS,12.43101495881671
24,INDUSINDBK.NS,31.1285213520615
25,INFY.NS,3.884912116615724
26,IOC.NS,-5.982016758222352
27,ITC.NS,14.583747031613981
28,JSWSTEEL.NS,6.2306154839798955
29,KOTAKBANK.NS,9.751369417349176
30,LT.NS,28.203270253403545
31,M&M.NS,30.920274973245565
32,MARUTI.NS,20.2388708689228
33,NESTLEIND.NS,19.244484808814242
34,NTPC.NS,17.63853379032487
35,ONGC.NS,6.835527164912558
36,POWERGRID.NS,15.422298841037962
37,RELIANCE.NS,18.38200327280104
38,SBILIFE.NS,0.5758717249807699
39,SBIN.NS,26.736986940709585
40,SUNPHARMA.NS,23.565712809958896
41,TATAMOTORS.NS,31.526016326850502
42,TATASTEEL.NS,25.03851459406057
43,TCS.NS,9.168299783171863
44,TECHM.NS,17.874820231963007
45,TITAN.NS,19.78063918641404
46,ULTRACEMCO.NS,27.654194535771826
47,UPL.NS,25.47515543862371
48,WIPRO.NS,23.829727638558218
